Academic,Food,Transportation,Infrastructure,Work,Finance,Health,Other
More ECE course options.,Discounts on COSTCO for foods and gas,more public transport,Lower housing rent.,More RA/TA opportunities.,Lower tuition fees and fee for out of state students,Mandatory physical and mental health classes,Easy switch between program discipline if student lose their interest
Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),cheaper food,Better public transportation (Access to MARTA),"Increase number of seatings, monitors in the Library",More RA/TA opportunities,Lower the tuition and fee for out-of-state students.,Easier and free access to mental health help,Qualified professors
lesser number of minimum compulsory credits for international students,Better food on campus,Reduce parking fee,Renovated and more campus housing options ,Less workload,Reduce parking fee,Healthier food options,Having umbrellas that can be borrowed on campus
Exam archive for students to prep for tests,More food options on campus,More stinger bus routes,Improve Wifi speed,Having more common spaces to do work on campus (in addition to CULC + Crosland),Lower student fees,better mental health awareness,less party
Course material recorded,Wider variety of food options on campus,Better Transportation,Lower housing rent.,More RA/TA opportunities.,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,better mental health awareness,Safety on campus
Better system for choosing classes,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,only open book exams to ensure conceptual understanding stress busting activities every week on campus,Lower housing rent.,More opportunities for on-campus jobs (teaching or research Assistant),Lower student fees ,require physical and mental health for everyone,More seating/outlets 
only open book exams to ensure conceptual understanding,Healthier food options,Better bus transportation service,Provide more books in library,Better public transportation (Access to MARTA),Lower student fees,Provide better access to free mental health care,Increased seating on campus
Mandatory physical and mental health classes,cheaper food options,Better transportation,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",Profs/TAs being more responsive on Piazza,reduce parking fee on campus,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",Availability of graduate student living
more classes offered,Cheap food,reduce parking fee on campus,"Increase number of seatings, monitors in the Library",More RA/TA opportunities.,Lower the tuition and fee for out-of-state students,Mandatory physical and mental health classes,Increased number of on-campus employment opportunities for student
Better ECE classes,Discounts on COSTCO for foods and gas,More stinger bus routes,Better wifi coverage in campus,Increase opportunities for GRA/GTA roles in ECE department,reduce parking fee on campus,Healthcare availability on weekends,More collaboration based assignments
Revised testing format ,Free food,We can have free shared bikes or scooters for students to access in the campus,Lower Housing Rent ,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,Lower student fees ,Healthier food options on campus,better faculty benefits
Better course offerings,Cheap and better quality food offerings,More Buses for Transportation,Provide more on-campus housing options for graduate students,Better communication from course TAs and instructors.,Reduce parking fees on campus ,Mandatory physical and mental health classes ,safe neighbor
