Classroom,Infrastructure,Advisement,Food,Transportation,Finance,Work,Activities,Health
lesser number of minimum compulsory credits for international students,Lower housing rent.,More ECE course options.,Discounts on COSTCO for foods and gas,more public transport,Lower tuition fees and fee for out of state students,More RA/TA opportunities.,less party,Mandatory physical and mental health classes
Exam archive for students to prep for tests,"Increase number of seatings, monitors in the Library",Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),cheaper food,Better public transportation (Access to MARTA),Lower the tuition and fee for out-of-state students.,More RA/TA opportunities,Safety on campus,Easier and free access to mental health help
Better system for choosing classes,Renovated and more campus housing options ,Course material recorded,Better food on campus,Reduce parking fee,Reduce parking fee,Less workload,More outdoor events organized by different student societies.,Healthier food options
only open book exams to ensure conceptual understanding,Improve Wifi speed,Better course offerings,More food options on campus,More stinger bus routes,Lower student fees,Having more common spaces to do work on campus (in addition to CULC + Crosland),Regular events for international students to know the America better,better mental health awareness
Mandatory physical and mental health classes,Lower housing rent.,Mode of conduct of lectures should be both in-person and remote in every course,Wider variety of food options on campus,Better Transportation,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,More RA/TA opportunities.,"Increase frequency of free, fun events put on for students",better mental health awareness
more classes offered,Lower housing rent.,More variety of offered courses,Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly,only open book exams to ensure conceptual understanding stress busting activities every week on campus,Lower student fees ,More opportunities for on-campus jobs (teaching or research Assistant),Social events for students to get to know each other,require physical and mental health for everyone
Better ECE classes,Provide more books in library,Add more automated seats for each course and smoothen the registration process such that all students can take courses they desire,Healthier food options,Better bus transportation service,Lower student fees,Better public transportation (Access to MARTA),More crime prevention measures ,Provide better access to free mental health care
Revised testing format ,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",Offer more relevant courses in specialisations,cheaper food options,Better transportation,reduce parking fee on campus,Profs/TAs being more responsive on Piazza,more student events,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity."
Only open book exams to ensure conceptual understanding,"Increase number of seatings, monitors in the Library",Giving opportunity to students to drop courses anytime during the,Cheap food,reduce parking fee on campus,Lower the tuition and fee for out-of-state students,More RA/TA opportunities.,5. More fun events available to all students ,Mandatory physical and mental health classes
Each grad student has1 advisor to know closely what is their academic progress,Better wifi coverage in campus,Better communication from course TAs and instructors.,Discounts on COSTCO for foods and gas,More stinger bus routes,reduce parking fee on campus,Increase opportunities for GRA/GTA roles in ECE department,More fun events available to all students ,Healthcare availability on weekends
