Academic,Food,Transportation,Infrastructure,Work,Finance,Health,Other
More ECE course options.,Healthier food options,Better public transportation,Lower housing rent.,More RA/TA opportunities.,Reduce student fees ,Healthier food options,Providing more projects that give a hands on experience to students.
Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),Better quality of food ,Increased shuttle/bus times and reliability,Explaining the concepts of networking by showing code examples from system.,Explaining the concepts of networking by showing code examples from system.,reduce parking fee on campus,Increasing visibility and ease of using dining hallsHealthier food options,"Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain"
Lesser number of minimum compulsory credits for international students,More food options on campus ,more stinger bus routes,Better quality of housing,More support for job search,reducing student fees,healthy food with reasonable price,More funding opportunities
Reducing the number of exams but increasing the number of HW,Increasing visibility and ease of using dining hallsHealthier food options,better transportation,More library space,Better communication from course TAs and instructors.,Lower the tuition and fee for out-of-state students.,Healthier food options,Safety on campus
Explaining the concepts of networking by showing code examples from system.,Better food options in student centre,Free parking lots,Lower housing rent.,More support for job search,lower student fees,Healthcare availability on weekends,Fun activities/events
Better course options,healthy food with reasonable price,More school bus,build another gym or recreation center,less homework,Reduce parking fee,healthier foods on campus,Reduce traffic on campus 
Better communication from course TAs and instructors.,Better food,reduce parking fee on campus,Provide more monitors in library,Adding more breaks/holidays during the semester normalizes students workload,1. Affordable tuition,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",More seating locations on campus 
Make class syllabi publicly available,Have more delicious food in canteen.,We can have free shared bikes or scooters for students to access in the campus,Provide more books in library,"Work really hard on assignments, quiz, and exams.",Lower the tuition and fee for out-of-state students.,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work"".",More on campus activities for students
"Revised testing format as a standard (take home, open book, open notes)",Increasing visibility and ease of using dining halls,Increased frequency of buses on campus,Renovated campus housing,More opportunities for job,,More accessible free mental health help,Make meal plans more flexible/affordable
Fewer required ECE undergrad class (such as 3005 or 2031),Healthier food options,Improved campus transportation system,Larger gym,Less workload,,,"Increase frequency of free, fun events put on for students"
Better course options,Increase the varieties of food in dinning halls,More bus routes,Bigger gym.,More RA/TA opportunities.,,,Create more study spaces on campus
less homework,Better food options,More bike racks,Provide more hands-on experiments on networks,Having more common spaces to do work on campus (in addition to,,,Make it easier to make appointments at Stamps
more classes offered,Reduced food prices for lunch options,More affordable parking permits ,Lower housing rent.,easier access to MARTA,,,Better/more seating with access to outlet
more extra credit offered,Provide more food choices from more cultures in the canteen.,Free campus parking,build another gym or recreation center,Job related workshops and 1on 1 type advisor meetings and have industry mentors,,,"Improved ECE advising/forms process (graduation, minors, etc)"
less tests,More food option,Stress busting activities,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",Increased GRA pay,,,Having umbrellas that can be borrowed on campus
Giving opportunity to students to drop courses anytime during the semester without affecting their transcript,more Asian food on campus,Public transport,2. More study space in library,Increase opportunities for GRA/GTA roles in ECE department,,,More funding opportunities
"Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning",healthier foods on campus,Reduce parking fee,More options for student housing,Provide more hands-on experiments on networks,,,Easy switch between the programs or disciplines if students lose their interest in their current program
Mode of conduct of lectures should be both in-person and remote in every course,Discounts on COSTCO for foods and gas,I think that there should be more food options on campus so that lines are shorter during busy times.,I think that the on campus housing should be cheaper.,"In optional assignments, provide the solution by the professor or TA to help us understand",,,Better stinger service
"Work really hard on assignments, quiz, and exams.",Free food.,Later bus schedule,Provide more on-campus housing options for graduate students.,Reduce the workload (assignments) given to students to a reasonable level.,,,Better registration portal
More ECE course options.,More on campus late night food options,More public transport,Increasing number of seats in Library,"Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.",,,More crime prevention measures
install camera in every classroom for lecture recording,Improved access to university dinning halls and dining options for grad students,Better Transportation,Increased number of student housing to accommodate more students on-campus,Less workload for classes,,,"Choose an area that you are most interested in, but do not be afraid of changing it."
Improve course and assignment quality.,5. Diverse food options,Better transportation from off campus areas to campus,Affordable Housing on-campus,lessen the assignments but encourage more research work for the graduate students ,,,Make friends with people whose major is not close to yours.
Having additional advising for courses by people who are familiar with,Free food provided,,More than one gym to reduce crowding ,"wish to work on (of course with verification from the Professors and TA),in lieu of assignments ",,,Explore interesting things other than your major.
courses in the department (especially for grad students),I think that there should be more food options on campus so that lines are shorter during busy times.,,,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work"".",,,Do more exercises as you can.
Better course options,More free food,,,Students should be allowed balance between work and life.,,,supportive environment
More classes should allow students to attend remotely as this course does.,More food options,,,Increase opportunities for GRA/GTA roles in ECE department,,,better curriculum
More courses should provide lecture recordings for students¡¯ review.,Free food for grad students.,,,,,,better consultation 
More courses should publish lecture slides a night in advance so students can review material before lecture.,There should be cheaper dining hall options on campus.,,,,,,increase phd students' salary
Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.,Cheaper food,,,,,,increase more restaurant on campus
Each grad student has1 advisor to know closely what is their academic progress,Better campus dining options,,,,,,Better 4G/5G coverage
Help with course selection,,,,,,,increase more restaurant on campus
More variety of offered courses,,,,,,,Add more public computing resources
Optional problems to solve instead of presentations can help students in receiving extra credits since presentations are limited in number per class,,,,,,,More traffic lights at crossroads in tech square
Practice sessions with practice problems before exams,,,,,,,Safety on campus
Some latest advancements can be covered in the lecture content ,,,,,,,Provide help for career or researching experience.
"For courses that only offer 8 am class times, allow for later times in addition ",,,,,,,Quick response to the information consulting.
Course material recorded,,,,,,,Clear guide for new students to follow.
Move all courses online,,,,,,,CULC + Crosland)
Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few),,,,,,,Having umbrellas that can be borrowed on campus
Change exam formats or explore alternative syllabi for courses (math in particular),,,,,,,
Provide more industrial-related courses/projects. ,,,,,,,Steps should be taken to spread out midterms such that a student does not have 3+ midterms in one week. 
Be more friendly for other major students to select CS major courses.,,,,,,,less noisy A/C units on buildings
Open book exams,,,,,,,hop-on campus golfcarts
2. Availability of more courses,,,,,,,better looking OSCAR
"Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)",,,,,,,free ice cream on Fridays
"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",,,,,,,Social events for students to get to know each other
"Create opportunities for students that better prepare them for the workplace. I mean, make this a key aspect of a student's academic career.",,,,,,,Regular events for international students to know the America better
Improve course registration system,,,,,,,Increase in safety around campus
Being able to easily register for courses from schools other than your own school,,,,,,,Improve road condition
Less workload for classes,,,,,,,Improve Wi-Fi speed
Fewer class requirements,,,,,,,More activities for grad students
"wish to work on (of course with verification from the Professors and TA),in lieu of assignments ",,,,,,,A 'real' soccer court with two gates.
Reasonable arrangement of classrooms,,,,,,,More outdoor events organized by different student societies.
Offer virtual office hours as well as in-person office hours in general for classes.,,,,,,,Provide some dorms for the graduate-level students.
"Exams should not hold a lot of weightage, instead there should be multiple assignments for grading.",,,,,,,Please schedule office hours weekly on a regular basis
Classes should have more windows for ventilations.,,,,,,,More/Quick responsiveness on Piazza
Making class registration process smoother so that everyone can register for their desired courses,,,,,,,More police presence around surrounding areas off campus in the evening
All class recording should be available,,,,,,,Better homecoming performer selection
,,,,,,,Provide digital streaming services for all registered students
,,,,,,,Lower cirme rate
,,,,,,,More social events
,,,,,,,better vending machines on campus
,,,,,,,Provide some reading materials before each lecture
,,,,,,,"In assignments, provide the original questions"
,,,,,,,Discounted taxes for Student Employees
,,,,,,,Free snacks
,,,,,,,Discounted laptops
,,,,,,,Lesser num of compulsory creds internationals
,,,,,,,Interactive sessions
,,,,,,,increased pay gra
,,,,,,,increase more restaurant on campus
,,,,,,,Discounted taxes for Student Employees
